city,date,aqi,pollution,level,cond
嘉兴,2012-06-17,43,--,Ⅰ,优	
嘉兴,2012-06-18,18,--,Ⅰ,优	
嘉兴,2012-06-19,50,--,Ⅰ,优	
嘉兴,2012-06-20,35,--,Ⅰ,优	
嘉兴,2012-06-21,39,--,Ⅰ,优	
嘉兴,2012-06-22,51,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-06-23,26,--,Ⅰ,优	
嘉兴,2012-06-24,45,--,Ⅰ,优	
嘉兴,2012-06-25,63,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-06-26,41,--,Ⅰ,优	
嘉兴,2012-06-27,26,--,Ⅰ,优	
嘉兴,2012-06-28,37,--,Ⅰ,优	
嘉兴,2012-06-29,54,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-06-30,48,--,Ⅰ,优	
嘉兴,2012-07-01,62,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-07-02,51,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-07-03,53,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-07-04,60,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-07-05,64,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-07-06,66,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-07-07,50,--,Ⅰ,优	
嘉兴,2012-07-08,49,--,Ⅰ,优	
嘉兴,2012-07-09,68,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-07-10,69,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-07-11,60,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-07-12,71,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-07-13,62,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-07-14,57,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-07-15,54,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-07-16,69,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-07-17,47,--,Ⅰ,优	
嘉兴,2012-07-18,54,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-07-19,82,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-07-20,73,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-07-21,52,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-07-22,31,--,Ⅰ,优	
嘉兴,2012-07-23,30,--,Ⅰ,优	
嘉兴,2012-07-24,31,--,Ⅰ,优	
嘉兴,2012-07-25,27,--,Ⅰ,优	
嘉兴,2012-07-26,30,--,Ⅰ,优	
嘉兴,2012-07-26,30,--,Ⅰ,优	
嘉兴,2012-07-27,31,--,Ⅰ,优	
嘉兴,2012-07-28,28,--,Ⅰ,优	
嘉兴,2012-07-29,31,--,Ⅰ,优	
嘉兴,2012-07-30,34,--,Ⅰ,优	
嘉兴,2012-07-31,31,--,Ⅰ,优	
嘉兴,2012-08-01,31,--,Ⅰ,优	
嘉兴,2012-08-02,56,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-08-03,29,--,Ⅰ,优	
嘉兴,2012-08-04,36,--,Ⅰ,优	
嘉兴,2012-08-05,31,--,Ⅰ,优	
嘉兴,2012-08-06,54,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-08-07,46,--,Ⅰ,优	
嘉兴,2012-08-08,29,--,Ⅰ,优	
嘉兴,2012-08-09,37,--,Ⅰ,优	
嘉兴,2012-08-10,58,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-08-11,60,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-08-12,61,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-08-13,68,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-08-14,73,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-08-15,66,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-08-16,51,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-08-17,31,--,Ⅰ,优	
嘉兴,2012-08-18,38,--,Ⅰ,优	
嘉兴,2012-08-19,51,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-08-20,63,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-08-21,53,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-08-22,50,--,Ⅰ,优	
嘉兴,2012-08-23,32,--,Ⅰ,优	
嘉兴,2012-08-24,56,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-08-25,59,可吸入颗粒物,Ⅱ,良	
