index,city,date,polluteNum,polluteType,polluteRank,polluteCond
北京,2012-04-30,268,可吸入颗粒物,Ⅳ2,中度重污染	
徐州,2012-04-30,62,可吸入颗粒物,Ⅱ,良	
常州,2012-04-30,64,可吸入颗粒物,Ⅱ,良	
苏州,2012-04-30,54,可吸入颗粒物,Ⅱ,良	
南通,2012-04-30,36,--,Ⅰ,优	
连云港,2012-04-30,43,--,Ⅰ,优	
扬州,2012-04-30,34,--,Ⅰ,优	
镇江,2012-04-30,47,--,Ⅰ,优	
杭州,2012-04-30,63,可吸入颗粒物,Ⅱ,良	
宁波,2012-04-30,53,可吸入颗粒物,Ⅱ,良	
温州,2012-04-30,62,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-04-30,65,可吸入颗粒物,Ⅱ,良	
湖州,2012-04-30,84,可吸入颗粒物,Ⅱ,良	
绍兴,2012-04-30,64,可吸入颗粒物,Ⅱ,良	
台州,2012-04-30,56,可吸入颗粒物,Ⅱ,良	
合肥,2012-04-30,52,可吸入颗粒物,Ⅱ,良	
芜湖,2012-04-30,41,--,Ⅰ,优	
马鞍山,2012-04-30,54,可吸入颗粒物,Ⅱ,良	
福州,2012-04-30,49,--,Ⅰ,优	
厦门,2012-04-30,34,--,Ⅰ,优	
泉州,2012-04-30,72,可吸入颗粒物,Ⅱ,良	
南昌,2012-04-30,40,--,Ⅰ,优	
九江,2012-04-30,51,可吸入颗粒物,Ⅱ,良	
济南,2012-04-30,99,可吸入颗粒物,Ⅱ,良	
青岛,2012-04-30,46,--,Ⅰ,优	
淄博,2012-04-30,72,可吸入颗粒物,Ⅱ,良	
枣庄,2012-04-30,74,可吸入颗粒物,Ⅱ,良	
烟台,2012-04-30,49,--,Ⅰ,优	
潍坊,2012-04-30,55,可吸入颗粒物,Ⅱ,良	
济宁,2012-04-30,94,可吸入颗粒物,Ⅱ,良	
泰安,2012-04-30,75,可吸入颗粒物,Ⅱ,良	
威海,2012-04-30,51,可吸入颗粒物,Ⅱ,良	
日照,2012-04-30,22,--,Ⅰ,优	
郑州,2012-04-30,136,可吸入颗粒物,Ⅲ1,轻微污染	
开封,2012-04-30,132,可吸入颗粒物,Ⅲ1,轻微污染	
洛阳,2012-04-30,108,可吸入颗粒物,Ⅲ1,轻微污染	
平顶山,2012-04-30,141,可吸入颗粒物,Ⅲ1,轻微污染	
安阳,2012-04-30,134,可吸入颗粒物,Ⅲ1,轻微污染	
焦作,2012-04-30,81,可吸入颗粒物,Ⅱ,良	
三门峡,2012-04-30,90,可吸入颗粒物,Ⅱ,良	
武汉,2012-04-30,96,可吸入颗粒物,Ⅱ,良	
宜昌,2012-04-30,72,可吸入颗粒物,Ⅱ,良	
荆州,2012-04-30,72,可吸入颗粒物,Ⅱ,良	
长沙,2012-04-30,72,可吸入颗粒物,Ⅱ,良	
株洲,2012-04-30,63,可吸入颗粒物,Ⅱ,良	
湘潭,2012-04-30,67,可吸入颗粒物,Ⅱ,良	
岳阳,2012-04-30,60,可吸入颗粒物,Ⅱ,良	
常德,2012-04-30,77,可吸入颗粒物,Ⅱ,良	
张家界,2012-04-30,55,可吸入颗粒物,Ⅱ,良	
广州,2012-04-30,54,可吸入颗粒物,Ⅱ,良	
韶关,2012-04-30,51,可吸入颗粒物,Ⅱ,良	
深圳,2012-04-30,31,--,Ⅰ,优	
珠海,2012-04-30,29,--,Ⅰ,优	
汕头,2012-04-30,26,--,Ⅰ,优	
佛山,2012-04-30,33,--,Ⅰ,优	
湛江,2012-04-30,41,--,Ⅰ,优	
中山,2012-04-30,28,--,Ⅰ,优	
南宁,2012-04-30,52,可吸入颗粒物,Ⅱ,良	
柳州,2012-04-30,56,可吸入颗粒物,Ⅱ,良	
桂林,2012-04-30,64,可吸入颗粒物,Ⅱ,良	
北海,2012-04-30,50,--,Ⅰ,优	
海口,2012-04-30,28,--,Ⅰ,优	
三亚,2012-04-30,22,--,Ⅰ,优	
成都,2012-04-30,83,可吸入颗粒物,Ⅱ,良	
重庆,2012-04-30,60,可吸入颗粒物,Ⅱ,良	
自贡,2012-04-30,56,可吸入颗粒物,Ⅱ,良	
攀枝花,2012-04-30,61,可吸入颗粒物,Ⅱ,良	
泸州,2012-04-30,74,可吸入颗粒物,Ⅱ,良	
德阳,2012-04-30,62,可吸入颗粒物,Ⅱ,良	
绵阳,2012-04-30,79,可吸入颗粒物,Ⅱ,良	
南充,2012-04-30,59,可吸入颗粒物,Ⅱ,良	
宜宾,2012-04-30,75,可吸入颗粒物,Ⅱ,良	
贵阳,2012-04-30,64,可吸入颗粒物,Ⅱ,良	
遵义,2012-04-30,47,--,Ⅰ,优	
昆明,2012-04-30,46,--,Ⅰ,优	
曲靖,2012-04-30,53,可吸入颗粒物,Ⅱ,良	
玉溪,2012-04-30,53,可吸入颗粒物,Ⅱ,良	
拉萨,2012-04-30,31,--,Ⅰ,优	
西安,2012-04-30,87,可吸入颗粒物,Ⅱ,良	
铜川,2012-04-30,82,可吸入颗粒物,Ⅱ,良	
宝鸡,2012-04-30,99,可吸入颗粒物,Ⅱ,良	
咸阳,2012-04-30,62,可吸入颗粒物,Ⅱ,良	
渭南,2012-04-30,93,可吸入颗粒物,Ⅱ,良	
延安,2012-04-30,80,可吸入颗粒物,Ⅱ,良	
兰州,2012-04-30,113,可吸入颗粒物,Ⅲ1,轻微污染	
金昌,2012-04-30,89,可吸入颗粒物,Ⅱ,良	
西宁,2012-04-30,76,可吸入颗粒物,Ⅱ,良	
银川,2012-04-30,72,可吸入颗粒物,Ⅱ,良	
石嘴山,2012-04-30,60,可吸入颗粒物,Ⅱ,良	
乌鲁木齐,2012-04-30,70,可吸入颗粒物,Ⅱ,良	
克拉玛依,2012-04-30,38,--,Ⅰ,优	
